Latitude,Longitude,Common Name,FEATUREITEM_ID,City Feature,Address,Website,Location
47.6954157512333,-122.378878432525,Soundview Playfield,,Parks,1590 NW 90th St,http://www.seattle.gov/parks/park_detail.asp?ID=251,"(47.6954157512333, -122.378878432525)"
47.6805383223391,-122.313978443867,Froula Playground,,Parks,7200 12th Ave NE,http://www.seattle.gov/parks/park_detail.asp?ID=287,"(47.6805383223391, -122.313978443867)"
47.724209093647,-122.349314334665,Bitter Lake Playfield,,Parks,13035 Linden Ave N,http://www.seattle.gov/parks/park_detail.asp?ID=288,"(47.724209093647, -122.349314334665)"
47.6841059362952,-122.38324017016,Loyal Heights Playfield,,Parks,2101 NW 77th St,http://www.seattle.gov/parks/park_detail.asp?ID=289,"(47.6841059362952, -122.38324017016)"
47.6438017035719,-122.38678612823,Bayview Playground,,Parks,2614 24th Ave W,http://www.seattle.gov/parks/park_detail.asp?ID=303,"(47.6438017035719, -122.38678612823)"
47.6405844763879,-122.391059670129,East Magnolia Playfield,,Parks,,http://www.seattle.gov/parks/park_detail.asp?ID=318,"(47.6405844763879, -122.391059670129)"
47.6437458208129,-122.399472233563,Magnolia Playfield,,Parks,2518 34th Ave W,http://www.seattle.gov/parks/park_detail.asp?ID=319,"(47.6437458208129, -122.399472233563)"
47.6361389994322,-122.353785822709,East Queen Anne Playground,,Parks,1912 Warren Ave N,http://www.seattle.gov/parks/park_detail.asp?ID=329,"(47.6361389994322, -122.353785822709)"
47.6355140819519,-122.359503883522,West Queen Anne Playfield,,Parks,150 W Blaine St,http://www.seattle.gov/parks/park_detail.asp?ID=330,"(47.6355140819519, -122.359503883522)"
47.6598895174452,-122.278019181289,Laurelhurst Playfield,,Parks,4544 NE 41st St,http://www.seattle.gov/parks/park_detail.asp?ID=340,"(47.6598895174452, -122.278019181289)"
47.6214052249468,-122.332354809849,Cascade Playground,,Parks,333 Pontius Ave N,http://www.seattle.gov/parks/park_detail.asp?ID=350,"(47.6214052249468, -122.332354809849)"
47.7057711129745,-122.293492857914,Meadowbrook Playfield,,Parks,10533 35th Ave NE,http://www.seattle.gov/parks/park_detail.asp?ID=352,"(47.7057711129745, -122.293492857914)"
47.6070978006384,-122.301411867027,Garfield Playfield,,Parks,23rd Ave and E Cherry St,http://www.seattle.gov/parks/park_detail.asp?ID=353,"(47.6070978006384, -122.301411867027)"
47.6110216491653,-122.289885186905,Madrona Playground,,Parks,3211 E Spring St,http://www.seattle.gov/parks/park_detail.asp?ID=371,"(47.6110216491653, -122.289885186905)"
47.6214333231101,-122.306261412155,Miller Playfield,,Parks,400 19th Ave E,http://www.seattle.gov/parks/park_detail.asp?ID=373,"(47.6214333231101, -122.306261412155)"
